Date,Rating,Median,Average,Standard Deviation
16-03-25,Goed,85.0,88.0,12.84
16-03-26,Slecht,82.0,87.0,16.12
16-03-27,Gemiddeld,86.0,88.0,15.02
16-03-28,Gemiddeld,84.0,88.0,13.02
16-03-29,Gemiddeld,83.0,86.0,15.32
16-03-30,Goed,87.0,92.0,14.96
16-03-31,Goed,84.0,87.0,13.15
16-04-01,Goed,85.0,88.0,13.21
16-04-02,Goed,84.0,89.0,14.45
16-04-03,Goed,82.0,85.0,14.74
16-04-05,Goed,80.0,82.0,12.68
16-04-07,Goed,81.0,86.0,15.81
16-04-08,Gemiddeld,82.0,85.0,16.4
16-04-09,Gemiddeld,79.0,82.0,13.9
16-04-10,Goed,81.0,84.0,13.51
16-04-14,Gemiddeld,78.0,82.0,18.07
16-04-15,Goed,81.0,84.0,17.17
16-04-18,Goed,79.0,84.0,17.69
16-04-20,Gemiddeld,89.0,91.0,16.48
16-04-21,Gemiddeld,80.0,87.0,17.84
16-04-23,Gemiddeld,80.0,85.0,17.64
16-04-24,Gemiddeld,82.0,86.0,13.59
16-04-25,Goed,81.0,86.0,16.18
16-04-26,Goed,81.0,84.0,13.82
16-05-02,Gemiddeld,84.0,87.0,15.58
16-05-03,Slecht,80.0,81.0,12.0
16-05-04,Gemiddeld,80.0,85.0,17.69
16-05-05,Gemiddeld,88.0,89.0,18.38
16-05-06,Slecht,88.0,89.0,15.63
16-05-07,Slecht,85.0,87.0,13.71
16-05-08,Gemiddeld,91.0,93.0,17.18
16-05-09,Gemiddeld,79.0,80.0,12.45
16-05-10,Goed,81.0,83.0,15.81
16-05-11,Gemiddeld,84.0,87.0,18.22
16-05-12,Slecht,81.0,86.0,21.18
16-05-13,Gemiddeld,90.0,93.0,18.24
16-05-14,Slecht,86.0,89.0,16.41
16-05-15,Goed,86.0,88.0,14.05
16-05-16,Gemiddeld,80.0,86.0,16.76
