Date,Rating,Median,Average,Standard Deviation
16-03-25,Gemiddeld,65.0,67.0,5.26
16-03-26,Slecht,66.0,67.0,6.4
16-03-27,Gemiddeld,63.0,64.0,5.49
16-03-28,Gemiddeld,65.0,66.0,6.21
16-03-29,Gemiddeld,62.0,63.0,8.35
16-03-30,Slecht,66.0,68.0,7.88
16-03-31,Gemiddeld,62.0,63.0,6.31
16-04-01,Slecht,63.0,64.0,6.44
16-04-02,Slecht,65.0,68.0,9.96
16-04-03,Gemiddeld,64.0,66.0,7.53
16-04-04,Gemiddeld,61.0,63.0,6.48
16-04-05,Gemiddeld,63.0,65.0,6.98
16-04-07,Slecht,61.0,63.0,7.23
16-04-08,Slecht,65.0,66.0,5.81
16-04-09,Slecht,62.0,63.0,5.66
16-05-05,Slecht,60.0,62.0,8.55
16-05-06,Slecht,61.0,62.0,6.68
16-05-07,Slecht,63.0,64.0,8.19
16-05-08,Gemiddeld,66.0,68.0,9.26
16-05-09,Slecht,67.0,68.0,7.68
16-05-10,Gemiddeld,67.0,69.0,8.96
16-05-11,Gemiddeld,65.0,68.0,10.42
16-05-12,Gemiddeld,66.0,67.0,7.13
16-05-13,Gemiddeld,66.0,69.0,9.15
16-05-14,Gemiddeld,67.0,71.0,10.69
16-05-15,Slecht,62.0,63.0,6.0
16-05-16,Slecht,60.0,61.0,6.53
