Date,Rating,Median,Average,Standard Deviation
16-03-25,Goed,100.0,99.0,15.44
16-03-30,Gemiddeld,91.0,95.0,16.47
16-03-31,Goed,85.0,90.0,12.85
16-04-02,Gemiddeld,86.0,90.0,11.13
16-04-03,Gemiddeld,97.0,97.0,10.14
16-04-05,Gemiddeld,88.0,91.0,13.29
16-04-06,Gemiddeld,80.0,86.0,16.38
16-04-08,Gemiddeld,88.0,90.0,14.42
16-04-13,Gemiddeld,85.0,89.0,17.33
16-04-15,Gemiddeld,98.0,98.0,16.36
16-04-23,Gemiddeld,79.0,83.0,15.98
16-04-24,Slecht,76.0,80.0,13.83
16-04-25,Gemiddeld,78.0,81.0,12.43
16-04-26,Gemiddeld,79.0,84.0,13.03
16-05-06,Slecht,93.0,96.0,17.28
16-05-07,Gemiddeld,82.0,86.0,8.9
16-05-08,Gemiddeld,92.0,94.0,13.98
16-05-09,Gemiddeld,87.0,89.0,12.8
16-05-15,Gemiddeld,85.0,88.0,12.25
