Date,Rating,Median,Average,Standard Deviation
16-03-26,Goed,79.0,81.0,10.62
16-03-29,Gemiddeld,78.0,79.0,6.88
16-03-30,Gemiddeld,77.0,79.0,9.56
16-03-31,Goed,78.0,80.0,10.2
16-04-02,Goed,81.0,83.0,9.85
16-04-03,Goed,80.0,82.0,8.23
16-04-04,Goed,79.0,81.0,8.84
16-04-05,Goed,84.0,84.0,8.06
16-04-06,Gemiddeld,82.0,83.0,9.83
16-04-07,Goed,84.0,86.0,8.95
16-04-08,Goed,82.0,84.0,9.12
16-04-09,Goed,80.0,82.0,10.76
16-04-10,Goed,81.0,83.0,9.25
16-04-13,Gemiddeld,81.0,85.0,11.08
16-04-15,Goed,82.0,84.0,9.29
16-04-16,Goed,83.0,84.0,8.73
16-04-17,Goed,89.0,91.0,11.39
16-04-18,Goed,86.0,89.0,11.06
16-04-19,Gemiddeld,88.0,89.0,9.74
16-04-20,Goed,88.0,89.0,9.53
16-04-21,Goed,85.0,88.0,10.41
16-04-22,Gemiddeld,86.0,89.0,10.32
16-04-23,Gemiddeld,83.0,87.0,10.15
16-04-24,Goed,87.0,88.0,8.78
16-04-25,Goed,83.0,86.0,10.39
16-04-26,Gemiddeld,86.0,88.0,11.49
16-04-27,Goed,90.0,90.0,10.42
16-04-28,Goed,90.0,90.0,8.34
16-04-29,Goed,85.0,88.0,9.66
16-05-01,Goed,92.0,94.0,8.12
16-05-02,Goed,89.0,91.0,11.44
16-05-03,Goed,82.5,84.0,8.6
16-05-04,Goed,80.0,82.0,8.01
16-05-05,Goed,82.0,85.0,7.48
16-05-06,Goed,87.0,87.0,10.57
16-05-07,Gemiddeld,84.0,84.0,10.24
16-05-08,Slecht,84.0,85.0,9.88
16-05-09,Gemiddeld,85.0,86.0,8.34
16-05-10,Goed,86.0,86.0,7.55
16-05-11,Slecht,84.0,88.0,12.61
16-05-12,Gemiddeld,83.0,85.0,9.15
16-05-13,Gemiddeld,83.0,84.0,10.79
16-05-14,Gemiddeld,75.0,78.0,6.61
