Date,Rating,Duration
16-03-25,Goed,-
16-03-26,Goed,-
16-03-27,Goed,-
16-03-28,Goed,-
16-03-29,Goed,-
16-03-30 05:02:28,Goed,5.22
16-03-31,Goed,-
16-04-01,Goed,-
16-04-02,Goed,-
16-04-03 03:00:36,Goed,2.72
16-04-04 04:24:41,-,3.97
16-04-05,Goed,-
16-04-06 04:50:04,-,6.23
16-04-07,Goed,-
16-04-08,Goed,-
16-04-09,Goed,-
16-04-10,Goed,-
16-04-13 05:04:22,-,4.95
16-04-14 08:00:00,Gemiddeld,8.63
16-04-15,Goed,-
16-04-16 07:52:35,-,9.13
16-04-17 10:34:52,-,1.77
16-04-18,Goed,-
16-04-19 02:59:08,-,3.48
16-04-19 08:04:08,-,4.82
16-04-20,Goed,-
16-04-21 06:23:58,Gemiddeld,6.02
16-04-23 08:11:00,Gemiddeld,8.72
16-04-24,Goed,-
16-04-25 06:38:34,Goed,8.08
16-04-26 00:05:21,Goed,1.12
16-04-28 06:02:50,-,7.47
16-05-02 22:59:47,Gemiddeld,0.95
16-05-03,Goed,-
16-05-04,Goed,-
16-05-05 00:25:54,Gemiddeld,1.62
16-05-05 06:43:49,Gemiddeld,5.52
16-05-06 02:46:46,Slecht,2.9
16-05-06 06:29:46,Slecht,3.18
16-05-07,Goed,-
16-05-08 06:48:16,Gemiddeld,6.08
16-05-09,Goed,-
16-05-10 07:01:25,Goed,7.28
16-05-11,Goed,-
16-05-12,Goed,-
16-05-13,Goed,-
16-05-14 02:47:40,Slecht,3.68
16-05-14 04:24:02,Slecht,1.1
16-05-14 08:11:33,Slecht,1.55
16-05-15 07:48:47,Goed,7.83
16-05-16,Goed,-
