Date,Rating,Duration
16-03-25 00:00:00,-,0.0
16-03-26 00:00:00,Slecht,6.02
16-03-27 00:00:00,Gemiddeld,7.92
16-03-28 00:00:00,Gemiddeld,8.12
16-03-29 00:00:00,Gemiddeld,5.45
16-03-30 00:00:00,Slecht,9.67
16-03-31 00:00:00,Gemiddeld,9.22
16-04-01 00:00:00,Slecht,8.78
16-04-02 00:00:00,Slecht,7.77
16-04-03 00:00:00,Gemiddeld,9.13
16-04-04 00:00:00,Gemiddeld,7.2
16-04-05 00:00:00,Gemiddeld,7.6
16-04-06 00:00:00,-,9.07
16-04-07 00:00:00,Slecht,9.63
16-04-08 00:00:00,Slecht,11.68
16-04-09 00:00:00,Slecht,8.27
16-04-10 00:00:00,Gemiddeld,10.25
16-04-11 00:00:00,-,9.12
16-04-12 00:00:00,-,8.97
16-04-13 00:00:00,-,6.58
16-04-14 00:00:00,Gemiddeld,5.67
16-04-15 00:00:00,Gemiddeld,8.2
16-04-16 00:00:00,-,7.78
16-04-17 00:00:00,-,6.45
16-04-18 00:00:00,Gemiddeld,4.6
16-04-19 00:00:00,-,8.22
16-04-20 00:00:00,Goed,8.72
16-04-21 00:00:00,Gemiddeld,4.88
16-04-22 00:00:00,Gemiddeld,6.85
16-04-23 00:00:00,Gemiddeld,8.88
16-04-24 00:00:00,Gemiddeld,8.95
16-04-25 00:00:00,Gemiddeld,9.88
16-04-26 00:00:00,Gemiddeld,8.48
16-04-27 00:00:00,-,9.18
16-04-28 00:00:00,-,7.85
16-04-29 00:00:00,-,8.2
16-04-30 00:00:00,-,10.0
16-05-01 00:00:00,-,10.23
16-05-02 00:00:00,-,8.42
16-05-03 00:00:00,Slecht,8.13
16-05-04 00:00:00,Gemiddeld,7.52
16-05-05 00:00:00,Slecht,8.5
16-05-06 00:00:00,Slecht,7.2
16-05-07 00:00:00,Slecht,8.48
16-05-08 00:00:00,Gemiddeld,8.92
16-05-09 00:00:00,Slecht,8.98
16-05-10,Gemiddeld,-
16-05-11,Gemiddeld,-
16-05-12,Gemiddeld,-
16-05-13,Gemiddeld,-
16-05-14,Gemiddeld,-
16-05-15,Gemiddeld,-
16-05-16,Gemiddeld,-
