Date,Rating,Duration
16-03-25 00:00:00,-,0.0
16-03-26 00:00:00,Goed,5.68
16-03-27 00:00:00,-,6.75
16-03-28 00:00:00,-,7.88
16-03-29 00:00:00,Gemiddeld,5.97
16-03-30 00:00:00,Gemiddeld,3.6
16-03-31 00:00:00,Goed,5.12
16-04-01 00:00:00,-,6.72
16-04-02 00:00:00,Goed,5.38
16-04-03 00:00:00,Goed,6.67
16-04-04 00:00:00,Goed,6.43
16-04-05 00:00:00,Goed,4.08
16-04-06 00:00:00,Gemiddeld,4.43
16-04-07 00:00:00,Goed,7.22
16-04-08 00:00:00,Goed,6.45
16-04-09 00:00:00,Goed,4.38
16-04-10 00:00:00,Goed,7.7
16-04-11 00:00:00,-,5.72
16-04-12 00:00:00,-,5.78
16-04-13 00:00:00,Gemiddeld,7.77
16-04-14 00:00:00,-,6.9
16-04-15 00:00:00,-,0.0
16-04-16 00:00:00,Goed,5.25
16-04-17 00:00:00,Goed,4.33
16-04-18 00:00:00,Goed,5.03
16-04-19 00:00:00,Gemiddeld,2.77
16-04-20 00:00:00,Goed,6.55
16-04-21 00:00:00,Goed,6.42
16-04-22 00:00:00,Gemiddeld,5.42
16-04-23 00:00:00,Gemiddeld,7.47
16-04-24 00:00:00,Goed,7.5
16-04-25 00:00:00,Goed,6.18
16-04-26 00:00:00,Gemiddeld,8.17
16-04-27 00:00:00,Goed,7.65
16-04-28 00:00:00,Goed,7.53
16-04-29 00:00:00,Goed,5.23
16-04-30 00:00:00,-,8.42
16-05-01 00:00:00,Goed,8.18
16-05-02 00:00:00,Goed,9.43
16-05-03 00:00:00,Goed,8.33
16-05-04 00:00:00,Goed,5.65
16-05-05 00:00:00,Goed,7.08
16-05-06 00:00:00,Goed,8.62
16-05-07 00:00:00,Gemiddeld,1.38
16-05-08 00:00:00,-,0.0
16-05-09 00:00:00,-,0.0
16-05-10,Goed,-
16-05-11,Goed,-
16-05-12,Goed,-
16-05-13,Goed,-
16-05-14,Goed,-
16-05-15,Goed,-
16-05-16,Goed,-
