Date,Distance Walked (m),Rating
16-03-25,-,Gemiddeld
16-03-26,-,Slecht
16-03-27,-,Gemiddeld
16-03-28,-,Gemiddeld
16-03-29,-,Gemiddeld
16-03-30,-,Slecht
16-03-31,-,Gemiddeld
16-04-01,-,Slecht
16-04-02,-,Slecht
16-04-03,-,Gemiddeld
16-04-04,-,Gemiddeld
16-04-05,-,Gemiddeld
16-04-07,-,Slecht
16-04-08,-,Slecht
16-04-09,-,Slecht
16-04-10,-,Gemiddeld
16-04-14,-,Gemiddeld
16-04-15,-,Gemiddeld
16-04-18,-,Gemiddeld
16-04-20,-,Goed
16-04-21,-,Gemiddeld
16-04-22,-,Gemiddeld
16-04-23,-,Gemiddeld
16-04-24,-,Gemiddeld
16-04-25,-,Gemiddeld
16-04-26,-,Gemiddeld
16-05-03,-,Slecht
16-05-04,-,Gemiddeld
16-05-05,-,Slecht
16-05-06,-,Slecht
16-05-07,-,Slecht
16-05-08,-,Gemiddeld
16-05-09,-,Slecht
16-05-10,-,Gemiddeld
16-05-11,-,Gemiddeld
16-05-12,-,Gemiddeld
16-05-13,-,Gemiddeld
16-05-14,-,Gemiddeld
16-05-15,-,Slecht
16-05-16,-,Slecht
