Date,Distance Walked (m),Rating
16-03-25,-,Goed
16-03-26,-,Goed
16-03-29,20.0,Gemiddeld
16-03-30,-,Gemiddeld
16-03-31,-,Goed
16-04-02,-,Goed
16-04-03,-,Goed
16-04-04,-,Goed
16-04-05,-,Goed
16-04-06,-,Gemiddeld
16-04-07,-,Goed
16-04-08,-,Goed
16-04-09,-,Goed
16-04-10,-,Goed
16-04-13,-,Gemiddeld
16-04-15,-,Goed
16-04-16,-,Goed
16-04-17,-,Goed
16-04-18,-,Goed
16-04-19,-,Gemiddeld
16-04-20,-,Goed
16-04-21,-,Goed
16-04-22,-,Gemiddeld
16-04-23,-,Gemiddeld
16-04-24,-,Goed
16-04-25,-,Goed
16-04-26,-,Gemiddeld
16-04-27,-,Goed
16-04-28,-,Goed
16-04-29,-,Goed
16-05-01,-,Goed
16-05-02,-,Goed
16-05-03,-,Goed
16-05-04,-,Goed
16-05-05,-,Goed
16-05-06,-,Goed
16-05-07,-,Gemiddeld
16-05-08,-,Slecht
16-05-09,-,Gemiddeld
16-05-10,-,Goed
16-05-11,-,Slecht
16-05-12,15.0,Gemiddeld
16-05-13,-,Gemiddeld
16-05-14,-,Gemiddeld
16-05-15,-,Goed
16-05-16,-,Gemiddeld
