Date,Distance Walked (m),Rating
16-03-25,-,Goed
16-03-26,-,Gemiddeld
16-03-27,-,Gemiddeld
16-03-28,-,Gemiddeld
16-03-30,76.0,Gemiddeld
16-03-31,-,Goed
16-04-02,-,Gemiddeld
16-04-03,-,Gemiddeld
16-04-04,-,Gemiddeld
16-04-05,-,Gemiddeld
16-04-06,77.0,Gemiddeld
16-04-07,53.0,Gemiddeld
16-04-08,75.0,Gemiddeld
16-04-09,49.0,Goed
16-04-10,56.0,Gemiddeld
16-04-11,-,Goed
16-04-13,52.0,Goed
16-04-14,-,Gemiddeld
16-04-15,-,Goed
16-04-16,-,Gemiddeld
16-04-17,-,Gemiddeld
16-04-18,57.0,Goed
16-04-19,-,Goed
16-04-20,-,Gemiddeld
16-04-21,-,Gemiddeld
16-04-22,-,Gemiddeld
16-04-23,-,Gemiddeld
16-04-24,-,Gemiddeld
16-04-25,-,Goed
16-04-26,-,Goed
16-05-02,-,Gemiddeld
16-05-03,-,Gemiddeld
16-05-09,91.0,Goed
16-05-10,-,Goed
16-05-11,-,Gemiddeld
16-05-12,-,Gemiddeld
16-05-13,66.0,Goed
16-05-14,-,Goed
16-05-15,60.0,Gemiddeld
16-05-16,100.0,Gemiddeld
